132 1684534833 5,298094 0,200000 5,298094 5,298094 5,613960
99 1684534833 0,092802 0,400000 0,092268 0,093336 0,003445
111 1684534834 0,100838 0,200000 0,100838 0,100838 0,002034
165 1684534834 5,298001 0,200000 5,298001 5,298001 5,613763
102 1684534834 0,000211 0,200000 0,000211 0,000211 0,000000
138 1684534834 0,096197 0,200000 0,096197 0,096197 0,001851
132 1684534834 5,298094 0,200000 5,298094 5,298094 5,613960
99 1684534834 0,092802 0,400000 0,092268 0,093336 0,003445
111 1684534835 0,127996 0,400000 0,100556 0,155437 0,006854
135 1684534835 0,095479 0,200000 0,095479 0,095479 0,001823
102 1684534835 0,000115 0,200000 0,000115 0,000115 0,000000
114 1684534835 0,127015 0,200000 0,127015 0,127015 0,003227
153 1684534835 0,140681 0,200000 0,140681 0,140681 0,003958
99 1684534835 0,091990 0,400000 0,089110 0,094871 0,003388
111 1684534836 0,127996 0,400000 0,100556 0,155437 0,006854
114 1684534836 0,127015 0,200000 0,127015 0,127015 0,003227
153 1684534836 0,140681 0,200000 0,140681 0,140681 0,003958
135 1684534836 0,095479 0,200000 0,095479 0,095479 0,001823
102 1684534836 0,000115 0,200000 0,000115 0,000115 0,000000
99 1684534836 0,091990 0,400000 0,089110 0,094871 0,003388
111 1684534837 0,127996 0,400000 0,100556 0,155437 0,006854
135 1684534837 0,095479 0,200000 0,095479 0,095479 0,001823
102 1684534837 0,000115 0,200000 0,000115 0,000115 0,000000
114 1684534837 0,127015 0,200000 0,127015 0,127015 0,003227
153 1684534837 0,140681 0,200000 0,140681 0,140681 0,003958
99 1684534837 0,091990 0,400000 0,089110 0,094871 0,003388
111 1684534838 0,127996 0,400000 0,100556 0,155437 0,006854
135 1684534838 0,095479 0,200000 0,095479 0,095479 0,001823
102 1684534838 0,000115 0,200000 0,000115 0,000115 0,000000
114 1684534838 0,127015 0,200000 0,127015 0,127015 0,003227
153 1684534838 0,140681 0,200000 0,140681 0,140681 0,003958
99 1684534838 0,091990 0,400000 0,089110 0,094871 0,003388
111 1684534839 0,127996 0,400000 0,100556 0,155437 0,006854
135 1684534839 0,095479 0,200000 0,095479 0,095479 0,001823
102 1684534839 0,000115 0,200000 0,000115 0,000115 0,000000
114 1684534839 0,127015 0,200000 0,127015 0,127015 0,003227
153 1684534839 0,140681 0,200000 0,140681 0,140681 0,003958
99 1684534839 0,091990 0,400000 0,089110 0,094871 0,003388
144 1684534840 5,466258 0,200000 5,466258 5,466258 5,975994
144 1684534841 5,466258 0,200000 5,466258 5,466258 5,975994
126 1684534840 0,110885 0,200000 0,110885 0,110885 0,002459
126 1684534841 0,110885 0,200000 0,110885 0,110885 0,002459
171 1684534840 10,589780 0,200000 10,589780 10,589780 22,428686
171 1684534841 10,589780 0,200000 10,589780 10,589780 22,428686
111 1684534840 0,105083 0,200000 0,105083 0,105083 0,002208
111 1684534841 0,105083 0,200000 0,105083 0,105083 0,002208
129 1684534840 0,051272 0,200000 0,051272 0,051272 0,000526
129 1684534841 0,051272 0,200000 0,051272 0,051272 0,000526
102 1684534840 0,000143 0,200000 0,000143 0,000143 0,000000
102 1684534841 0,000143 0,200000 0,000143 0,000143 0,000000
114 1684534840 0,114036 0,200000 0,114036 0,114036 0,002601
114 1684534841 0,114036 0,200000 0,114036 0,114036 0,002601
150 1684534840 0,047369 0,200000 0,047369 0,047369 0,000449
150 1684534841 0,047369 0,200000 0,047369 0,047369 0,000449
138 1684534840 0,111689 0,400000 0,082182 0,141196 0,005338
138 1684534841 0,111689 0,400000 0,082182 0,141196 0,005338
168 1684534840 0,049430 0,200000 0,049430 0,049430 0,000489
168 1684534841 0,049430 0,200000 0,049430 0,049430 0,000489
147 1684534840 0,152356 0,200000 0,152356 0,152356 0,004642
147 1684534841 0,152356 0,200000 0,152356 0,152356 0,004642
132 1684534840 8,028110 0,400000 5,466342 10,589877 28,405277
132 1684534841 8,028110 0,400000 5,466342 10,589877 28,405277
99 1684534840 0,093095 0,200000 0,093095 0,093095 0,001733
99 1684534841 0,093095 0,200000 0,093095 0,093095 0,001733
144 1684534842 5,466258 0,200000 5,466258 5,466258 5,975994
126 1684534842 0,110885 0,200000 0,110885 0,110885 0,002459
171 1684534842 10,589780 0,200000 10,589780 10,589780 22,428686
111 1684534842 0,105083 0,200000 0,105083 0,105083 0,002208
129 1684534842 0,051272 0,200000 0,051272 0,051272 0,000526
102 1684534842 0,000143 0,200000 0,000143 0,000143 0,000000
114 1684534842 0,114036 0,200000 0,114036 0,114036 0,002601
150 1684534842 0,047369 0,200000 0,047369 0,047369 0,000449
138 1684534842 0,111689 0,400000 0,082182 0,141196 0,005338
168 1684534842 0,049430 0,200000 0,049430 0,049430 0,000489
147 1684534842 0,152356 0,200000 0,152356 0,152356 0,004642
132 1684534842 8,028110 0,400000 5,466342 10,589877 28,405277
99 1684534842 0,093095 0,200000 0,093095 0,093095 0,001733
144 1684534843 5,466258 0,200000 5,466258 5,466258 5,975994
126 1684534843 0,110885 0,200000 0,110885 0,110885 0,002459
171 1684534843 10,589780 0,200000 10,589780 10,589780 22,428686
111 1684534843 0,105083 0,200000 0,105083 0,105083 0,002208
129 1684534843 0,051272 0,200000 0,051272 0,051272 0,000526
102 1684534843 0,000143 0,200000 0,000143 0,000143 0,000000
114 1684534843 0,114036 0,200000 0,114036 0,114036 0,002601
150 1684534843 0,047369 0,200000 0,047369 0,047369 0,000449
138 1684534843 0,111689 0,400000 0,082182 0,141196 0,005338
168 1684534843 0,049430 0,200000 0,049430 0,049430 0,000489
147 1684534843 0,152356 0,200000 0,152356 0,152356 0,004642
132 1684534843 8,028110 0,400000 5,466342 10,589877 28,405277
99 1684534843 0,093095 0,200000 0,093095 0,093095 0,001733
144 1684534844 5,466258 0,200000 5,466258 5,466258 5,975994
126 1684534844 0,110885 0,200000 0,110885 0,110885 0,002459
171 1684534844 10,589780 0,200000 10,589780 10,589780 22,428686
111 1684534844 0,105083 0,200000 0,105083 0,105083 0,002208
129 1684534844 0,051272 0,200000 0,051272 0,051272 0,000526
102 1684534844 0,000143 0,200000 0,000143 0,000143 0,000000
114 1684534844 0,114036 0,200000 0,114036 0,114036 0,002601
150 1684534844 0,047369 0,200000 0,047369 0,047369 0,000449
138 1684534844 0,111689 0,400000 0,082182 0,141196 0,005338
168 1684534844 0,049430 0,200000 0,049430 0,049430 0,000489
147 1684534844 0,152356 0,200000 0,152356 0,152356 0,004642
132 1684534844 8,028110 0,400000 5,466342 10,589877 28,405277
99 1684534844 0,093095 0,200000 0,093095 0,093095 0,001733
126 1684534845 0,100222 0,200000 0,100222 0,100222 0,002009
159 1684534845 0,058507 0,200000 0,058507 0,058507 0,000685
111 1684534845 0,109741 0,200000 0,109741 0,109741 0,002409
129 1684534845 0,053629 0,200000 0,053629 0,053629 0,000575
102 1684534845 0,000144 0,200000 0,000144 0,000144 0,000000
114 1684534845 0,108549 0,200000 0,108549 0,108549 0,002357
156 1684534845 15,755066 0,200000 15,755066 15,755066 49,644419
138 1684534845 0,146575 0,200000 0,146575 0,146575 0,004297
153 1684534845 0,193865 0,200000 0,193865 0,193865 0,007517
141 1684534845 10,625873 0,200000 10,625873 10,625873 22,581837
132 1684534845 13,190559 0,400000 10,625966 15,755153 72,227196
99 1684534845 0,101069 0,200000 0,101069 0,101069 0,002043
126 1684534846 0,100222 0,200000 0,100222 0,100222 0,002009
159 1684534846 0,058507 0,200000 0,058507 0,058507 0,000685
111 1684534846 0,109741 0,200000 0,109741 0,109741 0,002409
129 1684534846 0,053629 0,200000 0,053629 0,053629 0,000575
102 1684534846 0,000144 0,200000 0,000144 0,000144 0,000000
